ID,Location,Depressed,Divorced
1,Alabama,21.3,12.5
2,Alaska,15.6,11.8
3,Arizona,18.7,12.3
4,Arkansas,21.5,12.9
5,California,13.3,9.6
6,Colorado,17,12.2
7,Connecticut,18.3,11.1
8,Delaware,18.3,12.2
9,District of Columbia,18.1,9
10,Florida,16.2,13
11,Georgia,18.3,11.3
12,Hawaii,10.7,9.6
13,Idaho,19.5,11.8
14,Illinois,16.7,10
15,Indiana,20.7,12.9
16,Iowa,18.7,10.6
17,Kansas,18.6,11.6
18,Kentucky,23.9,13.1
19,Louisiana,18.7,12
20,Maine,23.7,14.6
21,Maryland,15.9,10
22,Massachusetts,21.7,9.5
23,Michigan,20.5,11.8
24,Minnesota,18.2,10.2
25,Mississippi,19.9,12.1
26,Missouri,21.7,12.4
27,Montana,20.4,12.7
28,Nebraska,17.7,10.7
29,Nevada,15.6,14.2
30,New Hampshire,21,12.2
31,New Jersey,13.4,8.5
32,New Mexico,21.1,12.3
33,New York,15.9,8.7
34,North Carolina,19,10.9
35,North Dakota,17.3,9.4
36,Ohio,20.9,12.3
37,Oklahoma,21.8,13.3
38,Oregon,24,13.5
39,Pennsylvania,19.7,9.6
40,Rhode Island,20.6,11.4
41,South Carolina,19.9,11.1
42,South Dakota,16.6,10.4
43,Tennessee,21.4,12.6
44,Texas,14.6,10.9
45,Utah,20.7,9.1
46,Vermont,21.8,12.3
47,Virginia,17.4,10.1
48,Washington,21.6,12
49,West Virginia,23.6,13.3
50,Wisconsin,17,11
51,Wyoming,19,14
52,Puerto Rico,18.5,13.9
